175,1,"MANTENIMIENTO Y SERVICIOS"
176,3,"MOTOR FUERA DE BORDA FONFIAGRO"
177,2,"PYME FONDEBA"
178,1,"MICROCREDITO FONDEBA"
179,3,"REPOTENCIACION DE MAQUINARIA"
180,3,"TRACTOR"
181,6,"SERVICIOS VARIOS"
182,1,"MICROCREDITO"
183,6,"CHARCUTERIA"
184,6,"FABRICA DE YOGURT"
185,5,"CONUCOS"
186,7,"FONDEMI"
187,8,"GANADERIA DOBLE PROPOSITO"
188,8,"MAIZ"
189,8,"YUCA"
190,8,"GRANJA INTEGRAL"
191,8,"PARCHITA"
192,8,"PASTO"
193,8,"LECHOZA."
194,8,"PORCINO"
195,8,"TOMATE"
196,8,"MAQUINARIA FONFIAGRO"
197,8,"DESARROLLO FRONTERIZO"
198,8,"CONSOLIDACION DE FINCA"
199,8,"MEJORAMIENTO DE FINCA"
200,6,"MOTOR FUERA DE BORDA FONDEBA"
201,8,"PLATANO"
202,8,"SORGO"
203,8,"MOTOR FUERA BORDA CONS. JURID."
204,8,"CONEJOS"
205,8,"PISCICOLA"
206,8,"PATILLA"
207,8,"MEJORAMIENTO AVICOLA"
208,8,"OVINO"
209,8,"REPOTENCIACION DE MAQUINARIA"
210,8,"POLLOS DE ENGORDE"
211,8,"CAFÉ"
212,8,"OCUMO"
213,8,"FRIJOL"
214,8,"GALLINAS PONEDORAS"
215,8,"CRIA DE POLLOS"
216,8,"SORGO"
217,8,"CAÑA DE AZUCAR"
218,8,"APICOLA"
219,8,"CACAO"
220,6,"VENTA DE LECHE"
221,8,"RECUPERACION MAQUINARIA  SUBASTADA"
222,8,"TAXI"
223,6,"COOPERATIVA"
224,2,"FABRICA DE CHOCOLATE"
225,2,"FUNDICION DE METALES"
226,2,"FUNDICION DE METALES"
227,2,"RESTAURANT."
228,2,"BODEGA"
229,2,"ESCUELA DE TENNIS"
230,2,"LENCERIA"
231,1,"VENTA DE MERCANCIA SECA"
232,1,"CONFITERIA"
233,1,"ALQUILER DE LAVADORAS"
234,7,"LITOGRAFIA Y PUBLICIDAD"
235,6,"CARPINTERIA"
236,1,"KIOSCO"
237,1,"LENCERIA"
238,6,"LENCERIA"
239,6,"EQUIPO DE COMPUTACION"
240,6,"SERVICIO VETERINARIO"
241,6,"CENTRO DE COPIADO"
242,6,"HERRERIA"
243,6,"CONFECCIONES"
244,1,"VENTA DE PAÑALES"
245,6,"CARNICERIA"
246,1,"PRODUCTOS NATURISTAS"
247,6,"RESTAURANT"
248,6,"SERVICIOS CONTABLES"
249,1,"RESTAURANT"
250,6,"REFRIGERACION Y ELECTRICIDAD"
251,5,"CRIA DE POLLOS Y/O GALLINAS"
252,6,"FUNDICIONES"
253,6,"COMIDA LIGERA"
254,6,"REPARACION DE BICICLETAS"
255,1,"QUINCALLERIA"
256,6,"MANUALIDADES"
257,3,"SIEMBRA"
258,6,"AUTOLAVADO"
259,6,"ESCRITORIO JURIDICO"
260,7,"CRIA DE ANIMALES"
261,7,"VIVERO"
262,7,"PANADERIA"
263,6,"FABRICA DE CARBON"
264,1,"CONFECCION"
265,1,"CRIA DE POLLOS"
266,1,"VENTA DE PRODUCTOS MERCAL"
267,1,"COMIDA RAPIDA"
268,1,"FABRICA DE HAMACAS"
269,1,"FAB. ZANDALIAS"
270,1,"CULTIVO DE TOMATE"
271,1,"FABRICA DE SANDALIAS"
272,1,"COMIDA RAPIDA"
273,1,"PARCHITA"
274,1,"CORTE DE MALESAS"
275,1,"VERDURERA"
276,1,"VERDURERA"
277,1,"TALLER DE BICICLETAS"
278,1,"PIÑATERIA"
279,1,"REPARACION DE CALZADOS"
280,1,"TALLER DE ELECTROAUTOS"
281,1,"VENTA DE ROPA"
282,1,"GALLINAS PONEDORAS"
283,1,"POLLOS DE ENGORDE"
284,1,"VENTA DE CALZADO"
285,1,"FABRICA DE MOSQUITEROS Y CHINCHORROS"
286,1,"INTERNET"
287,1,"VENTA DE SANDALIAS"
288,1,"VENTA DE CONSERVAS"
289,1,"MINI-ENCUADERNACION"
290,1,"PRODUCTO AHUMADO"
291,1,"FABRICA DE GANCHOS PARA ROPA"
292,1,"COSTURA"
293,1,"MANUALIDADES"
294,1,"VENTA DE PESCADO"
295,1,"LATONERIA Y PINTURA"
296,1,"CAPRINO"
297,1,"FABRICA DE SILLAS"
298,1,"SIEMBRA DE MAIZ"
299,1,"POLLOS BENEFICIADOS"
300,1,"VENTA DE REPUESTOS PARA MOTOS"
301,1,"FABRICA DE HELADOS"
302,1,"FABRICA DE AMARRES"
303,1,"PIZZERIA"
304,1,"TALLER DE CAJAS HIDRAULICAS"
305,1,"JARDINERIA"
306,1,"AUTOLAVADO"
307,1,"CONFECCION"
308,1,"VENTA DE ACEITE Y LIGA"
309,1,"COMIDA CRIOLLA"
310,1,"BARBERIA"
311,1,"CONFECCION"
312,1,"VENTA DE HELADOS"
313,1,"VENTA DE BATEAS"
314,1,"POLLOS DE ENGORDE"
315,1,"FABRICA DE YOGURT"
316,1,"DESMALEZADORA"
317,1,"SERVICIO TECNICO"
318,1,"FABRICA DE SISTEMA DE RIEGO"
319,1,"REPARACION DE CELULARES"
320,1,"COMIDA TIPICA"
321,1,"FABRICA DE CORREAS Y CARTERAS"
322,1,"MOTOSIERRA"
323,1,"MANTENIMIENTO DE GUAYABA"
324,1,"SERVICIO DE FUMIGACION"
325,1,"CULTIVO DE PLATANO"
326,1,"FABRICA DE INSTRUMENTOS MUSICALES"
327,2,"TALLER DE HERRERIA"
328,2,"PIZZERIA"
329,2,"FABRICA DE AREQUIPE"
330,2,"FABRICA DE ROPA MATERNA"
331,2,"QUESERA"
332,2,"AUTOLAVADO"
333,2,"INTERNET"
334,2,"COMIDA RAPIDA"
335,2,"VIVERES"
336,2,"CENTRO DE TELECOMUNICACIONES"
337,2,"FABRICA DE FORORO"
338,2,"APICULTURA"
339,2,"CYBER CAFÉ"
340,2,"TALLER DE ARTE INTEGRAL"
341,2,"BARBERIA"
342,2,"FABRICA DE VELAS"
343,2,"PROCESADORA DE ALIMENTOS"
344,1,"CENTRO DE COMUNICACIONES"
345,1,"PAPELERIA"
346,1,"CENTRO DE COPIADO"
347,1,"SIEMBRA DE FRUTAS"
348,1,"FABRICA DE CERAMICA"
349,1,"VENTA DE VIVERES"
350,2,"FABRICA DE QUESOS"
351,2,"FABRICA DE PRODUCTOS QUIMICOS"
352,2,"EXPENDIO DE MEDICINAS"
353,2,"REPARACION DE AIRES ACONDICIONADOS."
354,1,"CULTIVO DE AJI"
355,1,"FRIGORIFICO"
356,1,"HUEVOS DE CODORNIS"
357,1,"COMIDA RAPIDA"
358,1,"DISTRIBUIDOR DE PRODUCTOS DE LIMPIEZA"
359,1,"COMPRA VENTA DE CARNE"
360,1,"JUGO DE CAÑA"
361,1,"COMPRA VENTA DE CARNE"
362,1,"COMIDA LIGERA"
363,1,"TALLER DE RADIADORES"
